iter	Passed	Remaining
398	298871	75654
399	299597	74899
400	300379	74158
401	301230	73434
402	302043	72700
403	302823	71958
404	303631	71222
405	304431	70484
406	305221	69743
407	305926	68983
408	306665	68231
409	307427	67484
410	308166	66732
411	308895	65977
412	309647	65228
413	310460	64491
414	311297	63759
415	312112	63022
416	312939	62287
417	313752	61549
418	314449	60788
419	315176	60033
420	315921	59282
421	316609	58520
422	317327	57764
423	318076	57013
424	318829	56264
425	319540	55507
426	320247	54749
427	320960	53993
428	321599	53225
429	322308	52468
430	322988	51708
431	323684	50950
432	324390	50194
433	325134	49444
434	325840	48688
435	326522	47929
436	327203	47171
437	327911	46416
438	328624	45663
439	329350	44911
440	330056	44157
441	330770	43404
442	331526	42656
443	332257	41906
444	332978	41154
445	333699	40403
446	334468	39657
447	335173	38904
448	335906	38154
449	336638	37404
450	337367	36654
451	338075	35901
452	338765	35147
453	339471	34395
454	340174	33643
455	340890	32892
456	341603	32142
457	342312	31391
458	343033	30641
459	343742	29890
460	344465	29141
461	345182	28391
462	345897	27641
463	346615	26892
464	347327	26142
465	348057	25394
466	348759	24644
467	349488	23896
468	350205	23147
469	350928	22399
470	351633	21650
471	352370	20903
472	353067	20153
473	353758	19404
474	354130	18638
475	354868	17892
476	355616	17147
477	356359	16401
478	357101	15655
479	357826	14909
480	358573	14164
481	359290	13417
482	360035	12672
483	360758	11925
484	361534	11181
485	362288	10436
486	363041	9691
487	363771	8945
488	364549	8200
489	365277	7454
490	366011	6708
491	366783	5963
492	367596	5219
493	368326	4473
494	369101	3728
495	369845	2982
496	370709	2237
497	371480	1491
498	372124	745
499	372830	0
